timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742944981504,4,19 Place Stock Order Request,200,OK,User Thread Group 1-202,text,true,,832,523,213,213,http://localhost:8080/engine/placeStockOrder,4,0,0
1742944981507,7,15 Login Request,200,OK,User Thread Group 1-247,text,true,,532,261,213,213,http://localhost:8080/authentication/login,7,0,0
1742944981516,6,20 Get Stock Transactions Request,200,OK,User Thread Group 1-91,text,false,,337,410,213,213,http://localhost:8080/transaction/getStockTransactions,6,0,0
1742944981523,4,16 Get Stock Prices Request,200,OK,User Thread Group 1-236,text,false,,479,399,213,213,http://localhost:8080/transaction/getStockPrices,4,0,0
1742944981531,4,17 Add Money Request,200,OK,User Thread Group 1-225,text,true,,294,439,213,213,http://localhost:8080/transaction/addMoneyToWallet,4,0,0
1742944981543,5,14 Register Request,201,Created,User Thread Group 1-259,text,true,,287,266,214,214,http://localhost:8080/authentication/register,5,0,0
1742944981546,9,18 Get Wallet Balance Request,200,OK,User Thread Group 1-214,text,true,,309,406,214,214,http://localhost:8080/transaction/getWalletBalance,9,0,0
1742944981549,6,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-57,text,true,,386,403,214,214,http://localhost:8080/transaction/getStockPortfolio,6,0,0
1742944981555,7,22 Get Wallet Balance Request,200,OK,User Thread Group 1-69,text,true,,308,409,213,213,http://localhost:8080/transaction/getWalletBalance,7,0,0
1742944981554,8,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-80,text,false,,331,406,213,213,http://localhost:8080/transaction/getWalletTransactions,8,0,0
1742944981555,8,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-58,text,false,,321,415,213,213,http://localhost:8080/transaction/getStockPortfolio,8,0,0
1742944981556,7,19 Place Stock Order Request,200,OK,User Thread Group 1-203,text,true,,847,539,213,213,http://localhost:8080/engine/placeStockOrder,7,0,0
1742944981557,10,15 Login Request,200,OK,User Thread Group 1-248,text,true,,535,257,212,212,http://localhost:8080/authentication/login,10,0,0
1742944981567,5,20 Get Stock Transactions Request,200,OK,User Thread Group 1-92,text,false,,337,409,212,212,http://localhost:8080/transaction/getStockTransactions,5,0,0
1742944981564,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-237,text,true,,479,415,212,212,http://localhost:8080/transaction/getStockPrices,9,0,0
1742944981573,4,17 Add Money Request,200,OK,User Thread Group 1-226,text,true,,294,439,212,212,http://localhost:8080/transaction/addMoneyToWallet,4,0,0
1742944981579,4,18 Get Wallet Balance Request,200,OK,User Thread Group 1-215,text,true,,309,417,213,213,http://localhost:8080/transaction/getWalletBalance,4,0,0
1742944981580,5,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-81,text,true,,471,406,213,213,http://localhost:8080/transaction/getWalletTransactions,5,0,0
1742944981586,5,22 Get Wallet Balance Request,200,OK,User Thread Group 1-70,text,false,,309,401,213,213,http://localhost:8080/transaction/getWalletBalance,5,0,0
1742944981587,4,14 Register Request,201,Created,User Thread Group 1-260,text,true,,287,291,213,213,http://localhost:8080/authentication/register,4,0,0
1742944981598,4,15 Login Request,200,OK,User Thread Group 1-249,text,true,,525,256,213,213,http://localhost:8080/authentication/login,4,0,0
1742944981600,4,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-59,text,false,,321,413,213,213,http://localhost:8080/transaction/getStockPortfolio,4,0,0
1742944981597,7,19 Place Stock Order Request,200,OK,User Thread Group 1-204,text,true,,855,547,212,212,http://localhost:8080/engine/placeStockOrder,7,0,0
1742944981614,7,20 Get Stock Transactions Request,200,OK,User Thread Group 1-93,text,true,,877,406,212,212,http://localhost:8080/transaction/getStockTransactions,6,0,0
1742944981614,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-238,text,false,,479,404,212,212,http://localhost:8080/transaction/getStockPrices,7,0,0
1742944981619,6,17 Add Money Request,200,OK,User Thread Group 1-227,text,true,,294,445,212,212,http://localhost:8080/transaction/addMoneyToWallet,6,0,0
1742944981625,4,18 Get Wallet Balance Request,200,OK,User Thread Group 1-216,text,true,,309,406,213,213,http://localhost:8080/transaction/getWalletBalance,4,0,0
1742944981631,5,14 Register Request,201,Created,User Thread Group 1-261,text,true,,287,281,213,213,http://localhost:8080/authentication/register,5,0,1
1742944981631,7,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-82,text,false,,331,414,213,213,http://localhost:8080/transaction/getWalletTransactions,7,0,0
1742944981642,6,22 Get Wallet Balance Request,200,OK,User Thread Group 1-71,text,false,,309,405,213,213,http://localhost:8080/transaction/getWalletBalance,6,0,0
1742944981644,6,15 Login Request,200,OK,User Thread Group 1-250,text,true,,536,258,213,213,http://localhost:8080/authentication/login,6,0,0
1742944981643,8,19 Place Stock Order Request,200,OK,User Thread Group 1-205,text,true,,820,511,213,213,http://localhost:8080/engine/placeStockOrder,8,0,0
1742944981645,8,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-60,text,true,,386,402,213,213,http://localhost:8080/transaction/getStockPortfolio,8,0,0
1742944981656,4,16 Get Stock Prices Request,200,OK,User Thread Group 1-239,text,false,,479,408,212,212,http://localhost:8080/transaction/getStockPrices,4,0,0
1742944981654,9,20 Get Stock Transactions Request,200,OK,User Thread Group 1-94,text,false,,337,416,212,212,http://localhost:8080/transaction/getStockTransactions,9,0,0
1742944981662,5,17 Add Money Request,200,OK,User Thread Group 1-228,text,true,,294,449,212,212,http://localhost:8080/transaction/addMoneyToWallet,5,0,0
1742944981675,4,18 Get Wallet Balance Request,200,OK,User Thread Group 1-217,text,true,,309,416,213,213,http://localhost:8080/transaction/getWalletBalance,4,0,0
1742944981674,5,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-83,text,false,,331,422,213,213,http://localhost:8080/transaction/getWalletTransactions,5,0,0
1742944981677,6,14 Register Request,201,Created,User Thread Group 1-262,text,true,,287,271,213,213,http://localhost:8080/authentication/register,6,0,1
1742944981685,6,15 Login Request,200,OK,User Thread Group 1-251,text,true,,533,248,213,213,http://localhost:8080/authentication/login,6,0,0
1742944981687,5,22 Get Wallet Balance Request,200,OK,User Thread Group 1-72,text,true,,308,401,213,213,http://localhost:8080/transaction/getWalletBalance,5,0,0
1742944981690,7,19 Place Stock Order Request,200,OK,User Thread Group 1-206,text,true,,856,548,213,213,http://localhost:8080/engine/placeStockOrder,7,0,0
1742944981693,5,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-61,text,false,,321,411,213,213,http://localhost:8080/transaction/getStockPortfolio,5,0,0
1742944981696,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-240,text,true,,479,414,212,212,http://localhost:8080/transaction/getStockPrices,7,0,0
1742944981707,3,17 Add Money Request,200,OK,User Thread Group 1-229,text,true,,294,447,212,212,http://localhost:8080/transaction/addMoneyToWallet,3,0,0
1742944981705,5,20 Get Stock Transactions Request,200,OK,User Thread Group 1-95,text,false,,337,417,212,212,http://localhost:8080/transaction/getStockTransactions,5,0,0
1742944981712,3,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-84,text,true,,471,409,212,212,http://localhost:8080/transaction/getWalletTransactions,3,0,0
1742944981722,5,14 Register Request,201,Created,User Thread Group 1-263,text,true,,287,277,213,213,http://localhost:8080/authentication/register,5,0,1
1742944981725,5,18 Get Wallet Balance Request,200,OK,User Thread Group 1-218,text,true,,309,404,213,213,http://localhost:8080/transaction/getWalletBalance,5,0,0
1742944981734,5,15 Login Request,200,OK,User Thread Group 1-252,text,true,,536,257,213,213,http://localhost:8080/authentication/login,5,0,0
1742944981736,4,22 Get Wallet Balance Request,200,OK,User Thread Group 1-73,text,false,,309,408,213,213,http://localhost:8080/transaction/getWalletBalance,4,0,0
1742944981737,11,19 Place Stock Order Request,200,OK,User Thread Group 1-207,text,true,,856,548,213,213,http://localhost:8080/engine/placeStockOrder,11,0,0
1742944981745,6,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-62,text,false,,321,410,213,213,http://localhost:8080/transaction/getStockPortfolio,6,0,0
1742944981745,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-241,text,false,,479,411,212,212,http://localhost:8080/transaction/getStockPrices,7,0,0
1742944981756,5,17 Add Money Request,200,OK,User Thread Group 1-230,text,true,,294,443,213,213,http://localhost:8080/transaction/addMoneyToWallet,5,0,0
1742944981763,5,18 Get Wallet Balance Request,200,OK,User Thread Group 1-219,text,true,,309,401,213,213,http://localhost:8080/transaction/getWalletBalance,5,0,0
1742944981759,9,20 Get Stock Transactions Request,200,OK,User Thread Group 1-96,text,true,,876,405,213,213,http://localhost:8080/transaction/getStockTransactions,9,0,0
