timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742944528099,8,14 Register Request,201,Created,User Thread Group 1-6,text,true,,287,275,17,17,http://localhost:8080/authentication/register,8,0,1
1742944528054,33,14 Register Request,201,Created,User Thread Group 1-5,text,true,,287,278,16,16,http://localhost:8080/authentication/register,33,0,11
1742944528021,66,14 Register Request,201,Created,User Thread Group 1-1,text,true,,287,298,16,16,http://localhost:8080/authentication/register,66,0,44
1742944528021,66,14 Register Request,201,Created,User Thread Group 1-4,text,true,,287,275,16,16,http://localhost:8080/authentication/register,66,0,44
1742944528021,66,14 Register Request,201,Created,User Thread Group 1-2,text,true,,287,288,16,16,http://localhost:8080/authentication/register,66,0,44
1742944528021,66,14 Register Request,201,Created,User Thread Group 1-3,text,true,,287,282,16,16,http://localhost:8080/authentication/register,66,0,44
1742944528145,9,14 Register Request,201,Created,User Thread Group 1-7,text,true,,287,274,18,18,http://localhost:8080/authentication/register,9,0,1
1742944528190,7,14 Register Request,201,Created,User Thread Group 1-8,text,true,,287,296,19,19,http://localhost:8080/authentication/register,7,0,0
1742944528236,15,14 Register Request,201,Created,User Thread Group 1-9,text,true,,287,276,20,20,http://localhost:8080/authentication/register,15,0,3
1742944528279,48,14 Register Request,201,Created,User Thread Group 1-10,text,true,,287,269,22,22,http://localhost:8080/authentication/register,48,0,1
1742944528325,17,14 Register Request,201,Created,User Thread Group 1-11,text,true,,287,283,22,22,http://localhost:8080/authentication/register,17,0,2
1742944528369,20,14 Register Request,201,Created,User Thread Group 1-12,text,true,,287,295,23,23,http://localhost:8080/authentication/register,20,0,2
1742944528415,22,14 Register Request,201,Created,User Thread Group 1-13,text,true,,287,268,24,24,http://localhost:8080/authentication/register,21,0,1
1742944528459,27,14 Register Request,201,Created,User Thread Group 1-14,text,true,,287,290,25,25,http://localhost:8080/authentication/register,27,0,2
1742944528504,10,14 Register Request,201,Created,User Thread Group 1-15,text,true,,287,297,26,26,http://localhost:8080/authentication/register,10,0,1
1742944528548,12,14 Register Request,201,Created,User Thread Group 1-16,text,true,,287,296,27,27,http://localhost:8080/authentication/register,12,0,2
1742944528595,11,14 Register Request,201,Created,User Thread Group 1-17,text,true,,287,297,28,28,http://localhost:8080/authentication/register,11,0,1
1742944528631,11,15 Login Request,200,OK,User Thread Group 1-5,text,true,,536,251,29,29,http://localhost:8080/authentication/login,11,0,0
1742944528631,8,15 Login Request,200,OK,User Thread Group 1-4,text,true,,528,250,29,29,http://localhost:8080/authentication/login,8,0,0
1742944528631,16,15 Login Request,200,OK,User Thread Group 1-1,text,true,,535,269,29,29,http://localhost:8080/authentication/login,16,0,0
1742944528639,11,14 Register Request,201,Created,User Thread Group 1-18,text,true,,287,293,29,29,http://localhost:8080/authentication/register,11,0,2
1742944528631,19,15 Login Request,200,OK,User Thread Group 1-6,text,true,,527,250,29,29,http://localhost:8080/authentication/login,19,0,0
1742944528631,21,15 Login Request,200,OK,User Thread Group 1-3,text,true,,528,252,29,29,http://localhost:8080/authentication/login,20,0,0
1742944528631,23,15 Login Request,200,OK,User Thread Group 1-2,text,true,,535,264,29,29,http://localhost:8080/authentication/login,23,0,0
1742944528655,5,15 Login Request,200,OK,User Thread Group 1-7,text,true,,529,247,29,29,http://localhost:8080/authentication/login,5,0,0
1742944528684,11,14 Register Request,201,Created,User Thread Group 1-19,text,true,,287,284,30,30,http://localhost:8080/authentication/register,10,0,1
1742944528698,11,15 Login Request,200,OK,User Thread Group 1-8,text,true,,536,268,30,30,http://localhost:8080/authentication/login,11,0,0
1742944528728,11,14 Register Request,201,Created,User Thread Group 1-20,text,true,,287,287,31,31,http://localhost:8080/authentication/register,11,0,1
1742944528753,12,15 Login Request,200,OK,User Thread Group 1-9,text,true,,524,245,31,31,http://localhost:8080/authentication/login,12,0,0
1742944528776,20,14 Register Request,201,Created,User Thread Group 1-21,text,true,,287,278,32,32,http://localhost:8080/authentication/register,20,0,2
1742944528819,11,14 Register Request,201,Created,User Thread Group 1-22,text,true,,287,273,33,33,http://localhost:8080/authentication/register,11,0,1
